color_number,color_name,5in,6in
002,Linen,Yes,No
102,Pearl Gray,Yes,Yes
105,Antique Ivory,Yes,Yes
111,Heather,Yes,No
112,Tuxedo Gray,Yes,Yes
130,Low Gloss White,Yes,Yes
138,Shell,Yes,No
140,Almond AR,Yes,Yes
173,Olive Green,Yes,No
175,Pewter,Yes,No
177,Sandy Beige,Yes,No
200,Black,Yes,Yes
202,Royal Brown,Yes,Yes
204,Grecian Green,Yes,Yes
209,Scotch Red,No,Yes
214,Woodland Green,Yes,No
219,Almond Cream,Yes,Yes
223,Imperial Brown,Yes,No
224,Buckskin,Yes,Yes
238,Clay,Yes,Yes
250,Musket Brown,Yes,Yes
253,Light Bronze,Yes,Yes
255,Cypress,Yes,No
301,Dark Gray,Yes,No
325,Sandstone Beige,Yes,Yes
327,Desert Tan,Yes,No
339,Dark Bronze,Yes,Yes
355,Light Maple,Yes,No
360,Terratone,Yes,Yes
429,Ocean Blue,No,Yes
712,Wicker,Yes,Yes
713,Wicker,Yes,Yes
780,Coppertone,Yes,Yes
791,Norwood,Yes,Yes
793,Sand,Yes,No
794,Almond,Yes,No
810,Shale,Yes,No
817,Cream,Yes,No
819,Herringbone,Yes,Yes
820,Cranberry,Yes,No

821,Ivy Green,Yes,No
822,Pacific Blue,Yes,No
827,Champagne,Yes,No
891,Buckskin,Yes,No
901,Ivory,Yes,No
